word,total_words
thorin,157523
bilbo,131525
thranduil,81457
gimli,69956
bard,69856
aragorn,63580
kili,54063
kíli,39595
fili,39515
tauriel,32377
frodo,32238
elrohir,30205
fíli,28425
glorfindel,27235
haldir,26282
boromir,24503
faramir,24205
elrond,22340
erestor,19123
estel,19083
elladan,16504
sam,14082
thran,11368
merry,10261
pippin,10248
harry,8014
ori,7704
éomer,7642
sigrid,7071
dwalin,6671
eowyn,6231
nori,6138
gandalf,5059
melpomaen,4841
bards,4773
maglor,4770
frerin,4753
maedhros,4734
eomer,4719
loki,4718
mel,4698
éowyn,4692
gimlis,4288
bella,4276
kalin,4224
eldarion,4203
arwen,4188
legolass,3987
hobbit,3919
shakiiya,3793
